post_id,aesthetic,market,language,keyword,text,sentiment_hint,score,num_comments,created_utc
s000001,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,451,61,1744524000.0
s000002,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,481,74,1721854800.0
s000003,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,433,8,1732748400.0
s000004,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,366,97,1735614000.0
s000005,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,276,115,1744462800.0
s000006,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,484,12,1730055600.0
s000007,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,144,98,1713675600.0
s000008,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,375,76,1764453600.0
s000009,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,62,35,1704362400.0
s000010,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,388,115,1735606800.0
s000011,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,492,103,1758549600.0
s000012,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,488,29,1724331600.0
s000013,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,397,77,1708689600.0
s000014,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,278,64,1717812000.0
s000015,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,462,53,1720656000.0
s000016,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,19,6,1718928000.0
s000017,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,25,44,1763377200.0
s000018,quiet_luxury,US,en,quiet luxury,Old money aesthetic feels performative on TikTok now. It's just Ralph Lauren cosplay for people with debt.,negative,337,91,1761966000.0
s000019,quiet_luxury,US,en,quiet luxury,"Stealth wealth basics: navy crewneck, gray flannels, unbranded loafers. Nothing screams, everything whispers.",positive,387,0,1745010000.0
s000020,quiet_luxury,US,en,quiet luxury,Honestly quiet luxury is a marketing term. Rich people always dressed like this.,neutral,369,47,1750122000.0
s000021,quiet_luxury,US,en,quiet luxury,Understated luxury > logo mania. My closet finally feels like mine.,positive,25,108,1727827200.0
s000022,quiet_luxury,US,en,quiet luxury,The stealth wealth thing is exhausting. It's just beige.,negative,311,28,1710399600.0
s000023,quiet_luxury,US,en,quiet luxury,Best quiet luxury piece I own: an unlined cashmere blazer. Wears like a sweatshirt.,positive,3,114,1731718800.0
s000024,quiet_luxury,US,en,quiet luxury,Old money aesthetic on Pinterest is 90% white girls at horse farms. Where is the range.,negative,338,63,1720450800.0
s000025,quiet_luxury,US,en,quiet luxury,Quiet luxury is really just having a good tailor and a cashmere addiction. The Row lookbook lives in my head rent free.,positive,201,83,1751241600.0
